"MaStR-Nr. der Einheit";"Anzeige-Name der Einheit";"Betriebs-Status";"Inbetriebnahmedatum der Einheit";"Registrierungsdatum der Einheit";"Energieträger";"Bruttoleistung der Einheit";"Nettonennleistung der Einheit";"Postleitzahl";"Ort";"Name des Anlagenbetreibers (nur Org.)";"	MaStR-Nr. des Anlagenbetreibers";"Letzte Aktualisierung"
"SEE939179780249";"Windpark Rieseby II GmbH & Co. KG - WEA 4";"In Planung";"";"3.10.2024";"Wind";"5700";"5700";"24354";"Rieseby";"Windpark Rieseby II GmbH & Co. KG";"ABR913061081812";"3.10.2024"
"SEE901792621391";"Windpark Rieseby II GmbH & Co. KG - WEA 6";"In Planung";"";"3.10.2024";"Wind";"5700";"5700";"24354";"Rieseby";"Windpark Rieseby II GmbH & Co. KG";"ABR913061081812";"3.10.2024"
"SEE918923442848";"Windpark Rieseby GmbH & Co. KG - WEA 5";"In Planung";"";"3.10.2024";"Wind";"5700";"5700";"24354";"Rieseby";"Windpark Rieseby GmbH & Co. KG";"ABR967158935601";"3.10.2024"
"SEE990836436190";"ABO Energy WP Eichkopf WEA 1";"In Planung";"";"3.10.2024";"Wind";"5560";"5560";"36199";"Rotenburg";"ABO Energy Windpark 9 GmbH & Co. KG";"ABR912370315502";"3.10.2024"
"SEE913192152405";"ABO Energy WP Eichkopf WEA2";"In Planung";"";"3.10.2024";"Wind";"5560";"5560";"36199";"Rotenburg";"ABO Energy Windpark 9 GmbH & Co. KG";"ABR912370315502";"3.10.2024"
"SEE965960099528";"ABO Energy WP Eichkopf WEA3";"In Planung";"";"3.10.2024";"Wind";"5560";"5560";"36199";"Rotenburg";"ABO Energy Windpark 9 GmbH & Co. KG";"ABR912370315502";"3.10.2024"
"SEE979018650302";"ABO Energy WP Eichkopf WEA4";"In Planung";"";"3.10.2024";"Wind";"5560";"5560";"36199";"Rotenburg";"ABO Energy Windpark 9 GmbH & Co. KG";"ABR912370315502";"3.10.2024"
"SEE924321116496";"ABO Energy WP Eichkopf WEA5";"In Planung";"";"3.10.2024";"Wind";"5560";"5560";"36199";"Rotenburg";"ABO Energy Windpark 9 GmbH & Co. KG";"ABR912370315502";"3.10.2024"
"SEE914198697501";"ABO Energy WP Eichkopf WEA6";"In Planung";"";"3.10.2024";"Wind";"5560";"5560";"36199";"Rotenburg";"ABO Energy Windpark 9 GmbH & Co. KG";"ABR912370315502";"3.10.2024"
"SEE983410514872";"WEA Pfeffelbach 03";"In Planung";"";"2.10.2024";"Wind";"6600";"6600";"66871";"Ehweiler";"UKA Umweltgerechte Kraftanlagen GmbH & Co. KG";"ABR999408386086";"2.10.2024"
"SEE900378116900";"WEA Klein Dammerow 07";"In Planung";"";"2.10.2024";"Wind";"6800";"6800";"19386";"Gehlsbach";"UKA Umweltgerechte Kraftanlagen GmbH & Co. KG";"ABR999408386086";"2.10.2024"
"SEE953797850870";"WEA Klein Dammerow 08";"In Planung";"";"2.10.2024";"Wind";"6800";"6800";"19386";"Gehlsbach";"UKA Umweltgerechte Kraftanlagen GmbH & Co. KG";"ABR999408386086";"2.10.2024"
"SEE913074246260";"Buckow-WEA-1";"In Planung";"";"2.10.2024";"Wind";"5700";"5700";"15936";"Dahme";"wpd Windpark Buckow GmbH & Co. KG";"ABR974367834588";"2.10.2024"
"SEE910466721947";"WEA Pfeffelbach 04";"In Planung";"";"2.10.2024";"Wind";"6600";"6600";"66871";"Ehweiler";"UKA Umweltgerechte Kraftanlagen GmbH & Co. KG";"ABR999408386086";"2.10.2024"
"SEE969991820809";"WEA Pfeffelbach 05";"In Planung";"";"2.10.2024";"Wind";"6600";"6600";"66871";"Ehweiler";"UKA Umweltgerechte Kraftanlagen GmbH & Co. KG";"ABR999408386086";"2.10.2024"
"SEE979802180510";"WEA Pfeffelbach 07";"In Planung";"";"2.10.2024";"Wind";"6600";"6600";"66871";"Ehweiler";"UKA Umweltgerechte Kraftanlagen GmbH & Co. KG";"ABR999408386086";"2.10.2024"
"SEE998888963176";"WEA 01 Alsheimer Chaussee";"In Planung";"";"2.10.2024";"Wind";"6800";"6800";"67577";"Alsheim";"PIONEXT Asset GmbH & Co. KG";"ABR908154282139";"2.10.2024"
"SEE944578975400";"WEA 3 / Owschlag";"In Planung";"";"2.10.2024";"Wind";"5700";"5700";"24811";"Owschlag";"Denker & Wulf AG";"ABR933776283783";"2.10.2024"
"SEE980000224333";"Bürgerwindpark Bretzfeld-Obersulm WEA IV";"In Planung";"";"2.10.2024";"Wind";"6800";"6800";"74182";"Obersulm";"Bürgerwindpark Bretzfeld-Obersulm GmbH & Co. KG";"ABR979025533773";"2.10.2024"
"SEE955887029524";"WP Martfeld II WEA 01";"In Planung";"";"2.10.2024";"Wind";"5560";"5560";"27327";"Martfeld";"Westwind Projektierungs GmbH & Co. KG";"ABR923828951203";"2.10.2024"
"SEE976549440921";"WTG 1";"In Planung";"";"2.10.2024";"Wind";"3600";"3600";"23795";"Weede";"Eurowind Energy GmbH";"ABR928567608968";"2.10.2024"
"SEE947159266447";"WTG 2";"In Planung";"";"2.10.2024";"Wind";"6000";"6000";"23795";"Weede";"Eurowind Energy GmbH";"ABR928567608968";"2.10.2024"
"SEE919615738157";"WTG 3";"In Planung";"";"2.10.2024";"Wind";"6000";"6000";"23795";"Weede";"Eurowind Energy GmbH";"ABR928567608968";"2.10.2024"
"SEE973023609515";"WTG 4";"In Planung";"";"2.10.2024";"Wind";"6000";"6000";"23795";"Weede";"Eurowind Energy GmbH";"ABR928567608968";"2.10.2024"
"SEE952543679383";"WEA 5";"In Planung";"";"2.10.2024";"Wind";"5560";"5560";"34439";"Willebadessen";"Energie & Landwirtschaft Invest GmbH ＆ Co.KG";"ABR919557779065";"2.10.2024"
"SEE983133396663";"K1 Kohlwald 1";"In Planung";"";"2.10.2024";"Wind";"6000";"6000";"36399";"Freiensteinau";"LUFTERTRAG UG (haftungsbeschränkt) & Co. KG";"ABR905868133153";"4.10.2024"
"SEE953580361804";"Schlangen WEA7 SG-44";"In Planung";"";"2.10.2024";"Wind";"3600";"3600";"33189";"Schlangen";"Montes Pullum GmbH & Co.KG";"ABR962038272746";"2.10.2024"
"SEE910330666343";"WEA Süderfeld E-115";"In Planung";"";"2.10.2024";"Wind";"4200";"4200";"24980";"Hörup";"Windpark Süderfeld GmbH & Co. KG";"ABR910170285704";"2.10.2024"
"SEE943916843111";"WEA 1";"In Planung";"";"2.10.2024";"Wind";"7200";"7200";"99444";"Blankenhain";"meridian Windpark Kleinlohma GmbH & Co. KG";"ABR988075400010";"2.10.2024"
"SEE934988930212";"K2 Kohlwald 2";"In Planung";"";"2.10.2024";"Wind";"6000";"6000";"36399";"Freiensteinau";"LUFTERTRAG UG (haftungsbeschränkt) & Co. KG";"ABR905868133153";"4.10.2024"
"SEE962952192533";"K3 Kohlwald 3";"In Planung";"";"2.10.2024";"Wind";"6000";"6000";"36399";"Freiensteinau";"LUFTERTRAG UG (haftungsbeschränkt) & Co. KG";"ABR905868133153";"4.10.2024"
"SEE913575514646";"WEA 6";"In Planung";"";"2.10.2024";"Wind";"5560";"5560";"34439";"Willebadessen";"Energie & Landwirtschaft Invest GmbH ＆ Co.KG";"ABR919557779065";"2.10.2024"
"SEE909074759503";"K4 Kohlwald 4";"In Planung";"";"2.10.2024";"Wind";"6000";"6000";"36399";"Freiensteinau";"LUFTERTRAG UG (haftungsbeschränkt) & Co. KG";"ABR905868133153";"4.10.2024"
"SEE966500480349";"KladrumVI N149-5,7 WEA2";"In Planung";"";"2.10.2024";"Wind";"5700";"5700";"19374";"Kladrum";"Windpark Kladrum West GmbH & Co. KG";"ABR901978201256";"23.10.2024"
"SEE932012724370";"K5 Kohlwald 5";"In Planung";"";"2.10.2024";"Wind";"6000";"6000";"36399";"Freiensteinau";"LUFTERTRAG UG (haftungsbeschränkt) & Co. KG";"ABR905868133153";"4.10.2024"
"SEE945676580084";"WEA 8";"In Planung";"";"2.10.2024";"Wind";"5560";"5560";"34439";"Willebadessen";"Energie & Landwirtschaft Invest GmbH ＆ Co.KG";"ABR919557779065";"2.10.2024"
"SEE933464214143";"K6 Kohlwald 6";"In Planung";"";"2.10.2024";"Wind";"6000";"6000";"36399";"Freiensteinau";"LUFTERTRAG UG (haftungsbeschränkt) & Co. KG";"ABR905868133153";"4.10.2024"
"SEE964269791041";"WEA1 Bürgerwindpark Weißenbrunn-Gössersdorf";"In Planung";"";"2.10.2024";"Wind";"6800";"6800";"96369";"Weißenbrunn";"Gemeinde Weißenbrunn";"ABR904435540110";"28.10.2024"
"SEE999173198334";"WEA 01";"In Planung";"";"2.10.2024";"Wind";"6800";"6800";"19306";"Neustadt-Glewe";"WIND-projekt GmbH & Co. 39. Betriebs-KG";"ABR966632565884";"2.10.2024"
"SEE991176670497";"WEA 1";"In Planung";"";"2.10.2024";"Wind";"7200";"7200";"96138";"Burgebrach";"Bürgerwindenergie Burgebrach-Walsdorf GmbH & Co. KG";"ABR984068289662";"2.10.2024"
"SEE950208476223";"WEA 2";"In Planung";"";"2.10.2024";"Wind";"7200";"7200";"99444";"Blankenhain";"meridian Windpark Kleinlohma GmbH & Co. KG";"ABR988075400010";"2.10.2024"
"SEE928893138191";"WEA 2";"In Planung";"";"2.10.2024";"Wind";"7200";"7200";"96138";"Burgebrach";"Bürgerwindenergie Burgebrach-Walsdorf GmbH & Co. KG";"ABR984068289662";"2.10.2024"
"SEE941341580045";"WEA 2";"In Planung";"";"2.10.2024";"Wind";"7200";"7200";"59069";"Hamm";"Huffelwind GmbH & Co. KG";"ABR900684357950";"2.10.2024"
"SEE939183407903";"WEA 02";"In Planung";"";"2.10.2024";"Wind";"6800";"6800";"19306";"Neustadt-Glewe";"WIND-projekt GmbH & Co. 39. Betriebs-KG";"ABR966632565884";"2.10.2024"
"SEE989403528130";"WEA 3";"In Planung";"";"2.10.2024";"Wind";"7200";"7200";"99444";"Blankenhain";"meridian Windpark Kleinlohma GmbH & Co. KG";"ABR988075400010";"2.10.2024"
"SEE910144866960";"WEA 3";"In Planung";"";"2.10.2024";"Wind";"7200";"7200";"96138";"Burgebrach";"Bürgerwindenergie Burgebrach-Walsdorf GmbH & Co. KG";"ABR984068289662";"2.10.2024"
"SEE933336755354";"WEA 4";"In Planung";"";"2.10.2024";"Wind";"7200";"7200";"96138";"Burgebrach";"Bürgerwindenergie Burgebrach-Walsdorf GmbH & Co. KG";"ABR984068289662";"2.10.2024"
"SEE922919866877";"WEA 5";"In Planung";"";"2.10.2024";"Wind";"7200";"7200";"96194";"Walsdorf";"Bürgerwindenergie Burgebrach-Walsdorf GmbH & Co. KG";"ABR984068289662";"2.10.2024"
"SEE991769814475";"WEA 3";"In Planung";"";"2.10.2024";"Wind";"7200";"7200";"59069";"Hamm";"Huffelwind GmbH & Co. KG";"ABR900684357950";"2.10.2024"
"SEE915682535088";"WEA 4";"In Planung";"";"2.10.2024";"Wind";"7200";"7200";"99444";"Blankenhain";"meridian Windpark Kleinlohma GmbH & Co. KG";"ABR988075400010";"2.10.2024"
"SEE987261902697";"WP Martfeld II WEA 02";"In Planung";"";"2.10.2024";"Wind";"5560";"5560";"27327";"Martfeld";"Westwind Projektierungs GmbH & Co. KG";"ABR923828951203";"2.10.2024"
"SEE924253692235";"WEA 6";"In Planung";"";"2.10.2024";"Wind";"7200";"7200";"96194";"Walsdorf";"Bürgerwindenergie Burgebrach-Walsdorf GmbH & Co. KG";"ABR984068289662";"2.10.2024"
"SEE916709916118";"WEA 4";"In Planung";"";"2.10.2024";"Wind";"7200";"7200";"59069";"Hamm";"Huffelwind GmbH & Co. KG";"ABR900684357950";"2.10.2024"
"SEE912684927071";"WEA 7";"In Planung";"";"2.10.2024";"Wind";"7200";"7200";"96194";"Walsdorf";"Bürgerwindenergie Burgebrach-Walsdorf GmbH & Co. KG";"ABR984068289662";"2.10.2024"
"SEE982995988504";"WEA 5";"In Planung";"";"2.10.2024";"Wind";"7200";"7200";"99444";"Blankenhain";"meridian Windpark Kleinlohma GmbH & Co. KG";"ABR988075400010";"2.10.2024"
"SEE961726766987";"WEA 6";"In Planung";"";"2.10.2024";"Wind";"7200";"7200";"99444";"Blankenhain";"meridian Windpark Kleinlohma GmbH & Co. KG";"ABR988075400010";"2.10.2024"
"SEE946224507690";"SG-43 E-138 Schlangen";"In Planung";"";"2.10.2024";"Wind";"4200";"4200";"33189";"Schlangen";"SoLa Energiepartner GmbH";"ABR980074318501";"2.10.2024"
"SEE918325439965";"WEA 01";"In Planung";"";"2.10.2024";"Wind";"5600";"5600";"18233";"Neubukow";"Windpark Neubukow GmbH & Co. Betriebs KG";"ABR973148242529";"2.10.2024"
"SEE954100834839";"WEA 02";"In Planung";"";"2.10.2024";"Wind";"7200";"7200";"34414";"Warburg";"Windenergie Bonenburg Ikenhausen GbR";"ABR980466055809";"2.10.2024"
"SEE913496459774";"WEA 7";"In Planung";"";"2.10.2024";"Wind";"7200";"7200";"99444";"Blankenhain";"meridian Windpark Kleinlohma GmbH & Co. KG";"ABR988075400010";"2.10.2024"
"SEE920377535205";"Schlangen WEA9 SG 41";"In Planung";"";"2.10.2024";"Wind";"4200";"4200";"33189";"Schlangen";"RWF Verwaltungs GmbH";"ABR987713643482";"2.10.2024"
"SEE913226467338";"WEA02";"In Planung";"";"2.10.2024";"Wind";"6000";"6000";"17392";"Spantekow";"Voßberg GmbH";"ABR944895439302";"2.10.2024"
"SEE985860064778";"WEA 8";"In Planung";"";"2.10.2024";"Wind";"7200";"7200";"99444";"Blankenhain";"meridian Windpark Kleinlohma GmbH & Co. KG";"ABR988075400010";"2.10.2024"
"SEE962381380969";"Bürgerwind Steigerwald WEA1";"In Planung";"";"2.10.2024";"Wind";"5560";"5560";"91483";"Oberscheinfeld";"Bürgerwind Steigerwald GmbH & Co. KG i.G.";"ABR925713561566";"4.10.2024"
"SEE920047057525";"WEA 09 GE 5.3-158 SoLa";"In Planung";"";"2.10.2024";"Wind";"5300";"5300";"33184";"Altenbeken";"SoLa Energiepartner GmbH";"ABR980074318501";"2.10.2024"
"SEE959440134182";"WP Martfeld II WEA 03";"In Planung";"";"2.10.2024";"Wind";"5560";"5560";"27327";"Martfeld";"Westwind Projektierungs GmbH & Co. KG";"ABR923828951203";"2.10.2024"
"SEE942791924557";"WEA 7";"In Planung";"";"2.10.2024";"Wind";"6000";"6000";"33175";"Bad Lippspringe";"Flütwind GmbH & Co. KG";"ABR927489477492";"2.10.2024"
"SEE952815230601";"WEA 02";"In Planung";"";"2.10.2024";"Wind";"5600";"5600";"18233";"Neubukow";"Windpark Neubukow GmbH & Co. Betriebs KG";"ABR973148242529";"9.10.2024"
"SEE904724522780";"WEA 08 E-138 SoLa";"In Planung";"";"2.10.2024";"Wind";"3500";"3500";"33184";"Altenbeken";"SoLa Energiepartner GmbH";"ABR980074318501";"2.10.2024"
"SEE948753525916";"WEA 01";"In Planung";"";"2.10.2024";"Wind";"7200";"7200";"34414";"Warburg";"Windenergie Bonenburg Ikenhausen GbR";"ABR980466055809";"2.10.2024"
"SEE960060425673";"WEA 03";"In Planung";"";"2.10.2024";"Wind";"5600";"5600";"18233";"Neubukow";"Windpark Neubukow GmbH & Co. Betriebs KG";"ABR973148242529";"2.10.2024"
"SEE927896821574";"WEA 01 Windpark Bornheim Rheinebene";"In Planung";"";"2.10.2024";"Wind";"5560";"5560";"53332";"Bornheim";"REA GmbH Umweltinvest";"ABR917115992765";"2.10.2024"
"SEE927260245784";"WEA 04";"In Planung";"";"2.10.2024";"Wind";"5600";"5600";"18233";"Neubukow";"Windpark Neubukow GmbH & Co. Betriebs KG";"ABR973148242529";"2.10.2024"
"SEE917784843894";"WEA 03";"In Planung";"";"2.10.2024";"Wind";"7200";"7200";"34414";"Warburg";"Windenergie Bonenburg Ikenhausen GbR";"ABR980466055809";"2.10.2024"
"SEE913167202388";"WEA 6 / Balje";"In Planung";"";"2.10.2024";"Wind";"4260";"4260";"21734";"Oederquart";"Denker & Wulf AG";"ABR933776283783";"2.10.2024"
"SEE935636042615";"WEA 02 Windpark Bornheim Rheinebene";"In Planung";"";"2.10.2024";"Wind";"5560";"5560";"53332";"Bornheim";"REA GmbH Umweltinvest";"ABR917115992765";"2.10.2024"
"SEE943655981952";"WEA 03 Windpark Bornheim Rheinebene";"In Planung";"";"2.10.2024";"Wind";"5560";"5560";"53332";"Bornheim";"REA GmbH Umweltinvest";"ABR917115992765";"2.10.2024"
"SEE990330380609";"WEA 04 Windpark Bornheim Rheinebene";"In Planung";"";"2.10.2024";"Wind";"5560";"5560";"53332";"Bornheim";"REA GmbH Umweltinvest";"ABR917115992765";"2.10.2024"
"SEE923320457982";"WEA 05 Windpark Bornheim Rheinebene";"In Planung";"";"2.10.2024";"Wind";"5560";"5560";"53332";"Bornheim";"REA GmbH Umweltinvest";"ABR917115992765";"2.10.2024"
"SEE994952093558";"WEA 06 Windpark Bornheim Rheinebene";"In Planung";"";"2.10.2024";"Wind";"5560";"5560";"53332";"Bornheim";"REA GmbH Umweltinvest";"ABR917115992765";"2.10.2024"
"SEE941282881904";"Bürgerwind Steigerwald WEA2";"In Planung";"";"2.10.2024";"Wind";"5560";"5560";"91483";"Oberscheinfeld";"Bürgerwind Steigerwald GmbH & Co. KG i.G.";"ABR925713561566";"4.10.2024"
"SEE915701506242";"Bürgerwind Steigerwald WEA3";"In Planung";"";"2.10.2024";"Wind";"5560";"5560";"91483";"Oberscheinfeld";"Bürgerwind Steigerwald GmbH & Co. KG i.G.";"ABR925713561566";"4.10.2024"
"SEE918203989148";"Bürgerwind Steigerwald WEA4";"In Planung";"";"2.10.2024";"Wind";"5560";"5560";"91483";"Oberscheinfeld";"Bürgerwind Steigerwald GmbH & Co. KG i.G.";"ABR925713561566";"7.10.2024"
"SEE965795932397";"Bürgerwind Steigerwald WEA5";"In Planung";"";"2.10.2024";"Wind";"5560";"5560";"91483";"Oberscheinfeld";"Bürgerwind Steigerwald GmbH & Co. KG i.G.";"ABR925713561566";"7.10.2024"
"SEE934202317461";"Bürgerwind Steigerwald WEA6";"In Planung";"";"2.10.2024";"Wind";"5560";"5560";"91483";"Oberscheinfeld";"Bürgerwind Steigerwald GmbH & Co. KG i.G.";"ABR925713561566";"7.10.2024"
"SEE904932638556";"WKA 1";"In Planung";"";"2.10.2024";"Wind";"5700";"5700";"17309";"Jatznick";"eno energy GmbH";"ABR918822616838";"2.10.2024"
"SEE922426741742";"Buckow-WEA-2";"In Planung";"";"2.10.2024";"Wind";"5700";"5700";"15936";"Dahme";"wpd Windpark Buckow GmbH & Co. KG";"ABR974367834588";"2.10.2024"
"SEE985094777789";"WP Gremsheim WEA 01";"In Planung";"";"2.10.2024";"Wind";"6200";"6200";"37581";"Bad Gandersheim";"WindStrom Erneuerbare Energien GmbH & Co. KG";"ABR978638749915";"28.10.2024"
"SEE989659235950";"Bürgerwind Burghaslach - Markt Taschendorf WEA01";"In Planung";"";"2.10.2024";"Wind";"5560";"5560";"96152";"Burghaslach";"Bürgerwind Burghaslach - Markt Taschendorf GmbH & Co. KG i.G.";"ABR958492707252";"4.10.2024"
"SEE996635608820";"Repowering UB 33 WEA 1";"In Planung";"";"2.10.2024";"Wind";"5700";"5700";"17337";"Uckerland";"Enel Green Power UB33 GmbH & Co. KG";"ABR958549387734";"7.10.2024"
"SEE995382246972";"Buckow-WEA-3";"In Planung";"";"2.10.2024";"Wind";"5700";"5700";"15936";"Dahme";"wpd Windpark Buckow GmbH & Co. KG";"ABR974367834588";"2.10.2024"
"SEE905127984045";"WKA 2";"In Planung";"";"2.10.2024";"Wind";"5700";"5700";"17309";"Jatznick";"eno energy GmbH";"ABR918822616838";"2.10.2024"
"SEE967906471979";"SF 01";"In Planung";"";"2.10.2024";"Wind";"6000";"6000";"02959";"Schleife";"enercity Windpark Boxberg GmbH & Co. KG";"ABR901517524747";"2.10.2024"
"SEE989210816352";"Buckow-WEA-4";"In Planung";"";"2.10.2024";"Wind";"5700";"5700";"15936";"Dahme";"wpd Windpark Buckow GmbH & Co. KG";"ABR974367834588";"2.10.2024"
"SEE943292156898";"WEA KA-83";"In Planung";"";"2.10.2024";"Wind";"3900";"3900";"32689";"Kalletal";"iTerra energy Projektholding II GmbH";"ABR944914672178";"2.10.2024"
"SEE993490188894";"Buckow-WEA-5";"In Planung";"";"2.10.2024";"Wind";"5700";"5700";"15936";"Dahme";"wpd Windpark Buckow GmbH & Co. KG";"ABR974367834588";"2.10.2024"
"SEE955585108330";"Buckow-WEA-6";"In Planung";"";"2.10.2024";"Wind";"5700";"5700";"15936";"Dahme";"wpd Windpark Buckow GmbH & Co. KG";"ABR974367834588";"2.10.2024"
"SEE996251138886";"Bürgerwind Burghaslach - Markt Taschendorf WEA02";"In Planung";"";"2.10.2024";"Wind";"5560";"5560";"91480";"Markt Taschendorf";"Bürgerwind Burghaslach - Markt Taschendorf GmbH & Co. KG i.G.";"ABR958492707252";"4.10.2024"
"SEE965325404592";"WP Gremsheim WEA 02";"In Planung";"";"2.10.2024";"Wind";"6200";"6200";"37581";"Bad Gandersheim";"WindStrom Erneuerbare Energien GmbH & Co. KG";"ABR978638749915";"28.10.2024"
"SEE956458812712";"Neubrunn 4";"In Planung";"";"2.10.2024";"Wind";"6000";"6000";"97277";"Neubrunn";"Energiedienstleistungen Bals GmbH";"ABR908531125639";"2.10.2024"
"SEE955732860494";"Buckow-WEA-7";"In Planung";"";"2.10.2024";"Wind";"5700";"5700";"15936";"Dahme";"wpd Windpark Buckow GmbH & Co. KG";"ABR974367834588";"2.10.2024"
"SEE906437555420";"Buckow-WEA-8";"In Planung";"";"2.10.2024";"Wind";"5700";"5700";"15936";"Dahme";"wpd Windpark Buckow GmbH & Co. KG";"ABR974367834588";"2.10.2024"
"SEE972985944054";"WP Martfeld II WEA 04";"In Planung";"";"2.10.2024";"Wind";"5560";"5560";"27327";"Martfeld";"Westwind Projektierungs GmbH & Co. KG";"ABR923828951203";"2.10.2024"
"SEE915827871033";"WP Gremsheim WEA 03";"In Planung";"";"2.10.2024";"Wind";"6200";"6200";"37581";"Bad Gandersheim";"WindStrom Erneuerbare Energien GmbH & Co. KG";"ABR978638749915";"28.10.2024"
"SEE901542781849";"WP Martfeld II WEA 05";"In Planung";"";"2.10.2024";"Wind";"5560";"5560";"27327";"Martfeld";"Westwind Projektierungs GmbH & Co. KG";"ABR923828951203";"2.10.2024"
"SEE951516878037";"WP Gremsheim WEA 04";"In Planung";"";"2.10.2024";"Wind";"6200";"6200";"37581";"Bad Gandersheim";"WindStrom Erneuerbare Energien GmbH & Co. KG";"ABR978638749915";"28.10.2024"
"SEE913097852974";"Neubrunn 5";"In Planung";"";"2.10.2024";"Wind";"6000";"6000";"97277";"Neubrunn";"Energiedienstleistungen Bals GmbH";"ABR908531125639";"2.10.2024"
"SEE991932698185";"Repowering UB 33 WEA 2";"In Planung";"";"2.10.2024";"Wind";"5700";"5700";"17337";"Uckerland";"Enel Green Power UB33 GmbH & Co. KG";"ABR958549387734";"7.10.2024"
"SEE988265922261";"WKA 10";"In Planung";"";"2.10.2024";"Wind";"5500";"5500";"19386";"Granzin";"eno energy GmbH";"ABR918822616838";"2.10.2024"
"SEE942480101344";"Neubrunn 6";"In Planung";"";"2.10.2024";"Wind";"6000";"6000";"97277";"Neubrunn";"Energiedienstleistungen Bals GmbH";"ABR908531125639";"2.10.2024"
"SEE963539435180";"WP Martfeld II WEA 06";"In Planung";"";"2.10.2024";"Wind";"5560";"5560";"27327";"Martfeld";"Westwind Projektierungs GmbH & Co. KG";"ABR923828951203";"2.10.2024"
"SEE978401394090";"SF 02";"In Planung";"";"2.10.2024";"Wind";"6000";"6000";"02959";"Schleife";"enercity Windpark Boxberg GmbH & Co. KG";"ABR901517524747";"2.10.2024"
"SEE952754616467";"WKA 11";"In Planung";"";"2.10.2024";"Wind";"5500";"5500";"19386";"Granzin";"eno energy GmbH";"ABR918822616838";"2.10.2024"
"SEE957932014943";"SF 03";"In Planung";"";"2.10.2024";"Wind";"6000";"6000";"02959";"Schleife";"enercity Windpark Boxberg GmbH & Co. KG";"ABR901517524747";"2.10.2024"
"SEE926537294210";"SF 04";"In Planung";"";"2.10.2024";"Wind";"6000";"6000";"02959";"Schleife";"enercity Windpark Boxberg GmbH & Co. KG";"ABR901517524747";"2.10.2024"
"SEE973855665871";"WEA 1 WKMA";"In Planung";"";"2.10.2024";"Wind";"5560";"5560";"04769";"Mügeln";"Windkraft Mügeln-Ablaß GmbH";"ABR906149731587";"2.10.2024"
"SEE968561802979";"WEA 02 Alsheimer Chaussee";"In Planung";"";"2.10.2024";"Wind";"6800";"6800";"67585";"Dorn-Dürkheim";"PIONEXT Asset GmbH & Co. KG";"ABR908154282139";"2.10.2024"
"SEE908560124030";"WEA 05";"In Planung";"";"2.10.2024";"Wind";"7200";"7200";"34439";"Willebadessen";"Windenergie Bonenburg Ikenhausen GbR";"ABR980466055809";"2.10.2024"
"SEE932908452615";"WKA 1";"In Planung";"";"2.10.2024";"Wind";"6000";"6000";"06347";"Gerbstedt";"eno energy GmbH";"ABR918822616838";"2.10.2024"
"SEE966008058972";"WEA 1";"In Planung";"";"2.10.2024";"Wind";"5560";"5560";"48619";"Heek";"Bürgerwind 2W GmbH & Co. KG";"ABR913666561948";"2.10.2024"
"SEE984003303958";"WEA 2 WKMA";"In Planung";"";"2.10.2024";"Wind";"5560";"5560";"04769";"Mügeln";"Windkraft Mügeln-Ablaß GmbH";"ABR906149731587";"2.10.2024"
"SEE921593494185";"WEA 04";"In Planung";"";"2.10.2024";"Wind";"7200";"7200";"34414";"Warburg";"Windenergie Bonenburg Ikenhausen GbR";"ABR980466055809";"2.10.2024"
"SEE971455884197";"WEA 06";"In Planung";"";"2.10.2024";"Wind";"7200";"7200";"34439";"Willebadessen";"Windenergie Bonenburg Ikenhausen GbR";"ABR980466055809";"2.10.2024"
"SEE940947978430";"Windpark Heyen IV WEA 14";"In Planung";"";"2.10.2024";"Wind";"7200";"7200";"37619";"Heyen";"VERUM Heyen Z 2021 GmbH & Co. KG";"ABR969638725962";"2.10.2024"
"SEE951076494814";"WEA 07";"In Planung";"";"2.10.2024";"Wind";"7200";"7200";"34414";"Warburg";"Windenergie Bonenburg Ikenhausen GbR";"ABR980466055809";"2.10.2024"
"SEE907666409362";"WEA 1";"In Planung";"";"2.10.2024";"Wind";"5600";"5600";"97957";"Wittighausen";"eno energy GmbH";"ABR918822616838";"2.10.2024"
"SEE945379451933";"WEA 08";"In Planung";"";"2.10.2024";"Wind";"7200";"7200";"34439";"Willebadessen";"Windenergie Bonenburg Ikenhausen GbR";"ABR980466055809";"2.10.2024"
